"height","validator","percentage"
419538,"0% fee - EZStaking.io 100% Slash Protected",0.699834
419538,"0% fees | Validator.run",0.145867
419538,"Simply Staking",0.308103
419538,"Consensus One",0.462466
419538,"Cosmostation",7.785821
419538,"Secure Secrets",0.235126
419538,"SOLAR Validator",0.115541
419538,"commercio.network",0.126745
419538,"Highlander-Nodes",0.327555
419538,"天照☀",0.248942
419538,"Cosmic Validator",0.560721
419538,"kytzu",0.133641
419538,"Lavender.five Nodes",1.215960
419538,"Wave",0.110897
419538,"Klub Staking",0.312147
419538,"Cat Boss",0.189515
419538,"notional-validator",0.998305
419538,"chainvibes",0.232483
419538,"kingnodes",1.645928
419538,"NosNode🔆️",0.437045
419538,"[ block pane ]",0.264000
419538,"Wetez",0.161450
419538,"KingSuper",0.119765
419538,"dimi 🦙",1.391666
419538,"stakefish",3.854687
419538,"Chainflow",0.145823
419538,"blockscape",0.922037
419538,"Sentinel",6.168973
419538,"strangelove-ventures",1.189280
419538,"cyberG",0.151206
419538,"STAKECRAFT",0.076333
419538,"Ping",0.215500
419538,"Provalidator",1.181049
419538,"ITA Stakers",0.874044
419538,"0base.vc",7.995308
419538,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.769781
419538,"Agaram.ai",0.056907
419538,"Fist of the North Star",0.132615
419538,"Chorus One",1.451266
419538,"BasBlock",0.344870
419538,"Validating Chaos",0.515736
419538,"ChainLayer",0.942177
419538,"Chandrodaya",0.061472
419538,"Stakely.io",0.351324
419538,"Figment",3.461378
419538,"StakeWithUs",0.063324
419538,"HashQuark",0.454896
419538,"POSTHUMAN ✵ DVS",0.310321
419538,"BouBouNode",2.146317
419538,"KalpaTech",0.812388
419538,"SpacePotato",0.734545
419538,"Messi",0.060472
419538,"RHINO",0.235787
419538,"Witval",0.203783
419538,"Chill Validation",0.441631
419538,"web34ever",0.163423
419538,"milkstake",0.573946
419538,"AUDIT.one",0.164374
419538,"stake.systems",0.122404
419538,"OmniFlix Network",1.173057
419538,"OranG3cluB",0.119380
419538,"needlecast",0.360851
419538,"deus labs",1.050865
419538,"0% fee - Imperator.co",2.768556
419538,"elsehow",0.493292
419538,"FreshJUNO",1.001873
419538,"01node",0.756352
419538,"Citadel.one",2.780544
419538,"Bi23 Labs",0.724688
419538,"StakeLab",0.257100
421338,"0% fee | Stakewolle.com",0.103767
421338,"SmartNodes",2.123046
421338,"STC Capital",0.318787
421338,"Ubik Capital",0.213003
421338,"Bro_n_Bro",0.549653
421338,"WeStaking",1.250906
421338,"Cros-nest",0.609127
421338,"Cypher Core",0.193501
421338,"CommunityStaking",0.397785
421338,"Inotel",1.257677
421338,"0% fees 🚀 | BlueStake",2.925764
421338,"Crab Shack (ben2x4)",0.932518
421338,"Artifact",0.326940
421338,"Stakecito",1.338697
421338,"Regenerator | Green Validator 🌱",0.239450
421338,"Swiss Staking",3.535776
421338,"StarCluster",0.089084
421338,"Invicta Stake",0.159551
421338,"NodesGuru",0.167536
421338,"syncnode",0.128345
421338,"Disperze",3.435219
421338,"SG-1",8.451891
421338,"Cephalopod Equipment Corp",2.269102
421338,"Stakin",0.486597
421338,"jabbey",0.189485
421338,"Stakers",0.160566
421338,"meow",0.712956
421338,"#decentralizehk",0.159229
421338,"Oldcat",0.099308
421338,"pathrocknetwork",0.107670
421338,"0% fee - EZStaking.io 100% Slash Protected",0.699773
421338,"0% fees | Validator.run",0.145854
421338,"Simply Staking",0.308076
421338,"Consensus One",0.462426
421338,"Cosmostation",7.786968
421338,"Secure Secrets",0.235106
421338,"SOLAR Validator",0.115531
421338,"commercio.network",0.126734
421338,"Highlander-Nodes",0.327554
421338,"天照☀",0.248920
421338,"Cosmic Validator",0.560672
421338,"kytzu",0.133629
421338,"Lavender.five Nodes",1.215914
421338,"Wave",0.110888
421338,"Klub Staking",0.312119
421338,"Cat Boss",0.189498
421338,"notional-validator",0.998218
421338,"chainvibes",0.232463
421338,"kingnodes",1.646246
421338,"NosNode🔆️",0.437007
421338,"[ block pane ]",0.263977
421338,"Wetez",0.161436
421338,"KingSuper",0.119754
421338,"dimi 🦙",1.391545
421338,"stakefish",3.854352
421338,"Chainflow",0.145810
421338,"blockscape",0.921957
421338,"Sentinel",6.171513
421338,"strangelove-ventures",1.189177
421338,"cyberG",0.151193
421338,"STAKECRAFT",0.076326
421338,"Ping",0.215481
421338,"Provalidator",1.181091
421338,"ITA Stakers",0.873968
421338,"0base.vc",7.995864
421338,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.769732
421338,"Agaram.ai",0.056902
421338,"Fist of the North Star",0.132603
421338,"Chorus One",1.451140
421338,"BasBlock",0.344840
421338,"Validating Chaos",0.515691
421338,"ChainLayer",0.942095
421338,"Chandrodaya",0.061467
421338,"Stakely.io",0.351293
421338,"Figment",3.461095
421338,"StakeWithUs",0.063328
421338,"HashQuark",0.454856
421338,"POSTHUMAN ✵ DVS",0.310295
421338,"BouBouNode",2.146254
421338,"KalpaTech",0.812685
421338,"SpacePotato",0.734481
421338,"Messi",0.060467
421338,"RHINO",0.235766
421338,"Witval",0.203765
421338,"Chill Validation",0.441592
421338,"web34ever",0.163409
421338,"milkstake",0.573896
421338,"AUDIT.one",0.164359
421338,"stake.systems",0.122394
421338,"OmniFlix Network",1.172988
421338,"OranG3cluB",0.119370
421338,"needlecast",0.360820
421338,"deus labs",1.050774
421338,"0% fee - Imperator.co",2.768337
421338,"elsehow",0.493249
421338,"FreshJUNO",1.001786
421338,"01node",0.756286
421338,"Citadel.one",2.780304
421338,"Bi23 Labs",0.724625
421338,"StakeLab",0.257077
423138,"0% fee | Stakewolle.com",0.103750
423138,"SmartNodes",2.123094
423138,"STC Capital",0.318671
423138,"Ubik Capital",0.213044
423138,"Bro_n_Bro",0.549453
423138,"WeStaking",1.250570
423138,"Cros-nest",0.608905
423138,"Cypher Core",0.193431
423138,"CommunityStaking",0.397640
423138,"Inotel",1.257220
423138,"0% fees 🚀 | BlueStake",2.934306
423138,"Crab Shack (ben2x4)",0.932179
423138,"Artifact",0.326821
423138,"Stakecito",1.338229
423138,"Regenerator | Green Validator 🌱",0.241179
423138,"Swiss Staking",3.536328
423138,"StarCluster",0.089052
423138,"Invicta Stake",0.159493
423138,"NodesGuru",0.167475
423138,"syncnode",0.128298
423138,"Disperze",3.434275
423138,"SG-1",8.454934
423138,"Cephalopod Equipment Corp",2.268278
423138,"Stakin",0.486420
423138,"jabbey",0.189424
423138,"Stakers",0.160508
423138,"meow",0.712697
423138,"#decentralizehk",0.159171
423138,"Oldcat",0.099272
423138,"pathrocknetwork",0.107631
423138,"0% fee - EZStaking.io 100% Slash Protected",0.699521
423138,"0% fees | Validator.run",0.145801
423138,"Simply Staking",0.307964
423138,"Consensus One",0.462258
423138,"Cosmostation",7.785031
423138,"Secure Secrets",0.235021
423138,"SOLAR Validator",0.115489
423138,"commercio.network",0.126688
423138,"Highlander-Nodes",0.327504
423138,"天照☀",0.248830
423138,"Cosmic Validator",0.560468
423138,"kytzu",0.133581
423138,"Lavender.five Nodes",1.215472
423138,"Wave",0.110847
423138,"Klub Staking",0.312006
423138,"Cat Boss",0.189429
423138,"notional-validator",0.997856
423138,"chainvibes",0.232379
423138,"kingnodes",1.645650
423138,"NosNode🔆️",0.436972
423138,"[ block pane ]",0.263881
423138,"Wetez",0.161377
423138,"KingSuper",0.119711
423138,"dimi 🦙",1.391040
423138,"stakefish",3.852958
423138,"Chainflow",0.145757
423138,"blockscape",0.921622
423138,"Sentinel",6.169949
423138,"strangelove-ventures",1.188744
423138,"cyberG",0.151138
423138,"STAKECRAFT",0.076298
423138,"Ping",0.215403
423138,"Provalidator",1.180662
423138,"ITA Stakers",0.873667
423138,"0base.vc",8.001499
423138,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.769453
423138,"Agaram.ai",0.056881
423138,"Fist of the North Star",0.132555
423138,"Chorus One",1.450833
423138,"BasBlock",0.344715
423138,"Validating Chaos",0.516970
423138,"ChainLayer",0.941753
423138,"Chandrodaya",0.061444
423138,"Stakely.io",0.351168
423138,"Figment",3.459843
423138,"StakeWithUs",0.063305
423138,"HashQuark",0.454691
423138,"POSTHUMAN ✵ DVS",0.310188
423138,"BouBouNode",2.145597
423138,"KalpaTech",0.812390
423138,"SpacePotato",0.734615
423138,"Messi",0.060445
423138,"RHINO",0.235681
423138,"Witval",0.203691
423138,"Chill Validation",0.441432
423138,"web34ever",0.163350
423138,"milkstake",0.573688
423138,"AUDIT.one",0.164300
423138,"stake.systems",0.122349
423138,"OmniFlix Network",1.173150
423138,"OranG3cluB",0.119326
423138,"needlecast",0.360689
423138,"deus labs",1.050392
423138,"0% fee - Imperator.co",2.769021
423138,"elsehow",0.493070
423138,"FreshJUNO",1.001422
423138,"01node",0.756038
423138,"Citadel.one",2.779991
423138,"Bi23 Labs",0.724362
423138,"StakeLab",0.256984
424938,"0% fee | Stakewolle.com",0.103699
424938,"SmartNodes",2.121840
424938,"STC Capital",0.318753
424938,"Ubik Capital",0.212917
424938,"Bro_n_Bro",0.549165
424938,"WeStaking",1.249826
424938,"Cros-nest",0.608931
424938,"Cypher Core",0.193315
424938,"CommunityStaking",0.397402
424938,"Inotel",1.256467
424938,"0% fees 🚀 | BlueStake",2.932683
424938,"Crab Shack (ben2x4)",0.931620
424938,"Artifact",0.326625
424938,"Stakecito",1.337791
424938,"Regenerator | Green Validator 🌱",0.241035
424938,"Swiss Staking",3.535363
424938,"StarCluster",0.088998
424938,"Invicta Stake",0.159398
424938,"NodesGuru",0.167375
424938,"syncnode",0.128221
424938,"Disperze",3.432259
424938,"SG-1",8.466383
424938,"Cephalopod Equipment Corp",2.267156
424938,"Stakin",0.486129
424938,"jabbey",0.189319
424938,"Stakers",0.160412
424938,"meow",0.712270
424938,"#decentralizehk",0.159076
424938,"Oldcat",0.099212
424938,"pathrocknetwork",0.107566
424938,"0% fee - EZStaking.io 100% Slash Protected",0.699536
424938,"0% fees | Validator.run",0.145714
424938,"Simply Staking",0.307780
424938,"Consensus One",0.461981
424938,"Cosmostation",7.780433
424938,"Secure Secrets",0.234880
424938,"SOLAR Validator",0.115675
424938,"commercio.network",0.126612
424938,"Highlander-Nodes",0.327307
424938,"天照☀",0.248680
424938,"Cosmic Validator",0.560135
424938,"kytzu",0.133501
424938,"Lavender.five Nodes",1.214744
424938,"Wave",0.110781
424938,"Klub Staking",0.311892
424938,"Cat Boss",0.189356
424938,"notional-validator",0.997258
424938,"chainvibes",0.232240
424938,"kingnodes",1.763305
424938,"NosNode🔆️",0.436746
424938,"[ block pane ]",0.263723
424938,"Wetez",0.161280
424938,"KingSuper",0.119639
424938,"dimi 🦙",1.418800
424938,"stakefish",3.732159
424938,"Chainflow",0.145670
424938,"blockscape",0.921170
424938,"Sentinel",6.167167
424938,"strangelove-ventures",1.188032
424938,"cyberG",0.151048
424938,"STAKECRAFT",0.076253
424938,"Ping",0.215274
424938,"Provalidator",1.180376
424938,"ITA Stakers",0.873149
424938,"0base.vc",7.999132
424938,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.772792
424938,"Agaram.ai",0.056847
424938,"Fist of the North Star",0.132475
424938,"Chorus One",1.449964
424938,"BasBlock",0.344508
424938,"Validating Chaos",0.516673
424938,"ChainLayer",0.941188
424938,"Chandrodaya",0.061692
424938,"Stakely.io",0.350958
424938,"Figment",3.457770
424938,"StakeWithUs",0.063267
424938,"HashQuark",0.454418
424938,"POSTHUMAN ✵ DVS",0.310024
424938,"BouBouNode",2.146688
424938,"KalpaTech",0.811903
424938,"SpacePotato",0.734182
424938,"Messi",0.060409
424938,"RHINO",0.235539
424938,"Witval",0.203569
424938,"Chill Validation",0.441209
424938,"web34ever",0.163252
424938,"milkstake",0.573344
424938,"AUDIT.one",0.164201
424938,"stake.systems",0.122276
424938,"OmniFlix Network",1.172466
424938,"OranG3cluB",0.119255
424938,"needlecast",0.360473
424938,"deus labs",1.049763
424938,"0% fee - Imperator.co",2.767544
424938,"elsehow",0.492774
424938,"FreshJUNO",1.000822
424938,"01node",0.755585
424938,"Citadel.one",2.778361
424938,"Bi23 Labs",0.723928
424938,"StakeLab",0.257247
426738,"0% fee | Stakewolle.com",0.103688
426738,"SmartNodes",2.121423
426738,"STC Capital",0.318719
426738,"Ubik Capital",0.212894
426738,"Bro_n_Bro",0.549118
426738,"WeStaking",1.249692
426738,"Cros-nest",0.608866
426738,"Cypher Core",0.193294
426738,"CommunityStaking",0.397650
426738,"Inotel",1.256332
426738,"0% fees 🚀 | BlueStake",2.938560
426738,"Crab Shack (ben2x4)",0.931520
426738,"Artifact",0.326590
426738,"Stakecito",1.337720
426738,"Regenerator | Green Validator 🌱",0.241009
426738,"Swiss Staking",3.535274
426738,"StarCluster",0.088989
426738,"Invicta Stake",0.159381
426738,"NodesGuru",0.167357
426738,"syncnode",0.128207
426738,"Disperze",3.432047
426738,"SG-1",8.466730
426738,"Cephalopod Equipment Corp",2.266913
426738,"Stakin",0.486077
426738,"jabbey",0.189307
426738,"Stakers",0.160542
426738,"meow",0.712194
426738,"#decentralizehk",0.159098
426738,"Oldcat",0.099225
426738,"pathrocknetwork",0.107555
426738,"0% fee - EZStaking.io 100% Slash Protected",0.699755
426738,"0% fees | Validator.run",0.145698
426738,"Simply Staking",0.307747
426738,"Consensus One",0.461950
426738,"Cosmostation",7.780050
426738,"Secure Secrets",0.234973
426738,"SOLAR Validator",0.115662
426738,"commercio.network",0.126598
426738,"Highlander-Nodes",0.327272
426738,"天照☀",0.248654
426738,"Cosmic Validator",0.560075
426738,"kytzu",0.133486
426738,"Lavender.five Nodes",1.214617
426738,"Wave",0.110769
426738,"Klub Staking",0.311859
426738,"Cat Boss",0.189335
426738,"notional-validator",0.997151
426738,"chainvibes",0.232215
426738,"kingnodes",1.763116
426738,"NosNode🔆️",0.436704
426738,"[ block pane ]",0.263695
426738,"Wetez",0.161263
426738,"KingSuper",0.119626
426738,"dimi 🦙",1.418648
426738,"stakefish",3.731765
426738,"Chainflow",0.145654
426738,"blockscape",0.921072
426738,"Sentinel",6.166591
426738,"strangelove-ventures",1.188282
426738,"cyberG",0.151031
426738,"STAKECRAFT",0.076244
426738,"Ping",0.215251
426738,"Provalidator",1.180249
426738,"ITA Stakers",0.873055
426738,"0base.vc",7.998474
426738,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.772752
426738,"Agaram.ai",0.056841
426738,"Fist of the North Star",0.132461
426738,"Chorus One",1.449809
426738,"BasBlock",0.344471
426738,"Validating Chaos",0.516617
426738,"ChainLayer",0.941088
426738,"Chandrodaya",0.061685
426738,"Stakely.io",0.350960
426738,"Figment",3.457400
426738,"StakeWithUs",0.063260
426738,"HashQuark",0.454370
426738,"POSTHUMAN ✵ DVS",0.310121
426738,"BouBouNode",2.146583
426738,"KalpaTech",0.812012
426738,"SpacePotato",0.734103
426738,"Messi",0.060402
426738,"RHINO",0.235514
426738,"Witval",0.203547
426738,"Chill Validation",0.441167
426738,"web34ever",0.163234
426738,"milkstake",0.573283
426738,"AUDIT.one",0.164261
426738,"stake.systems",0.122263
426738,"OmniFlix Network",1.172471
426738,"OranG3cluB",0.119242
426738,"needlecast",0.360434
426738,"deus labs",1.049650
426738,"0% fee - Imperator.co",2.767329
426738,"elsehow",0.492721
426738,"FreshJUNO",1.000715
426738,"01node",0.755504
426738,"Citadel.one",2.778093
426738,"Bi23 Labs",0.723850
426738,"StakeLab",0.257225
428538,"0% fee | Stakewolle.com",0.114041
428538,"SmartNodes",2.116917
428538,"STC Capital",0.318101
428538,"Ubik Capital",0.212482
428538,"Bro_n_Bro",0.548530
428538,"WeStaking",1.247737
428538,"Cros-nest",0.607700
428538,"Cypher Core",0.192920
428538,"CommunityStaking",0.396879
428538,"Inotel",1.253897
428538,"0% fees 🚀 | BlueStake",2.934344
428538,"Crab Shack (ben2x4)",0.929715
428538,"Artifact",0.325957
428538,"Stakecito",1.335237
428538,"Regenerator | Green Validator 🌱",0.240543
428538,"Swiss Staking",3.528993
428538,"StarCluster",0.088817
428538,"Invicta Stake",0.159238
428538,"NodesGuru",0.167033
428538,"syncnode",0.127959
428538,"Disperze",3.425424
428538,"SG-1",8.450928
428538,"Cephalopod Equipment Corp",2.262521
428538,"Stakin",0.485135
428538,"jabbey",0.188948
428538,"Stakers",0.160231
428538,"meow",0.710814
428538,"#decentralizehk",0.158800
428538,"Oldcat",0.099033
428538,"pathrocknetwork",0.107347
428538,"0% fee - EZStaking.io 100% Slash Protected",0.698435
428538,"0% fees | Validator.run",0.145416
428538,"Simply Staking",0.307152
428538,"Consensus One",0.461055
428538,"Cosmostation",7.770170
428538,"Secure Secrets",0.234518
428538,"SOLAR Validator",0.115438
428538,"commercio.network",0.126353
428538,"Highlander-Nodes",0.326638
428538,"天照☀",0.248498
428538,"Cosmic Validator",0.558990
428538,"kytzu",0.133228
428538,"Lavender.five Nodes",1.212263
428538,"Wave",0.110554
428538,"Klub Staking",0.311324
428538,"Cat Boss",0.188977
428538,"notional-validator",0.995219
428538,"chainvibes",0.231765
428538,"kingnodes",1.759705
428538,"NosNode🔆️",0.435880
428538,"[ block pane ]",0.263184
428538,"Wetez",0.160951
428538,"KingSuper",0.119394
428538,"dimi 🦙",1.415899
428538,"stakefish",3.724986
428538,"Chainflow",0.145372
428538,"blockscape",0.919287
428538,"Sentinel",6.155340
428538,"strangelove-ventures",1.186393
428538,"cyberG",0.150739
428538,"STAKECRAFT",0.076097
428538,"Ping",0.214834
428538,"Provalidator",1.180208
428538,"ITA Stakers",0.871363
428538,"0base.vc",8.150968
428538,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.771292
428538,"Agaram.ai",0.056891
428538,"Fist of the North Star",0.132205
428538,"Chorus One",1.446999
428538,"BasBlock",0.343804
428538,"Validating Chaos",0.515616
428538,"ChainLayer",0.939279
428538,"Chandrodaya",0.061566
428538,"Stakely.io",0.350280
428538,"Figment",3.450701
428538,"StakeWithUs",0.063138
428538,"HashQuark",0.453489
428538,"POSTHUMAN ✵ DVS",0.309520
428538,"BouBouNode",2.142544
428538,"KalpaTech",0.810566
428538,"SpacePotato",0.732680
428538,"Messi",0.060285
428538,"RHINO",0.235058
428538,"Witval",0.203153
428538,"Chill Validation",0.440312
428538,"web34ever",0.162918
428538,"milkstake",0.572172
428538,"AUDIT.one",0.163948
428538,"stake.systems",0.122036
428538,"OmniFlix Network",1.170225
428538,"OranG3cluB",0.119011
428538,"needlecast",0.359736
428538,"deus labs",1.047616
428538,"0% fee - Imperator.co",2.764271
428538,"elsehow",0.491767
428538,"FreshJUNO",0.998776
428538,"01node",0.754040
428538,"Citadel.one",2.772119
428538,"Bi23 Labs",0.722447
428538,"StakeLab",0.256727
430338,"0% fee | Stakewolle.com",0.113942
430338,"SmartNodes",2.115392
430338,"STC Capital",0.317883
430338,"Ubik Capital",0.212289
430338,"Bro_n_Bro",0.550791
430338,"WeStaking",1.246634
430338,"Cros-nest",0.607266
430338,"Cypher Core",0.192751
430338,"CommunityStaking",0.396565
430338,"Inotel",1.252754
430338,"0% fees 🚀 | BlueStake",2.932287
430338,"Crab Shack (ben2x4)",0.928880
430338,"Artifact",0.325660
430338,"Stakecito",1.334964
430338,"Regenerator | Green Validator 🌱",0.240365
430338,"Swiss Staking",3.527702
430338,"StarCluster",0.088736
430338,"Invicta Stake",0.159092
430338,"NodesGuru",0.166881
430338,"syncnode",0.127842
430338,"Disperze",3.311860
430338,"SG-1",8.500480
430338,"Cephalopod Equipment Corp",2.260450
430338,"Stakin",0.484692
430338,"jabbey",0.188784
430338,"Stakers",0.160085
430338,"meow",0.710166
430338,"#decentralizehk",0.158657
430338,"Oldcat",0.098942
430338,"pathrocknetwork",0.107252
430338,"0% fee - EZStaking.io 100% Slash Protected",0.810060
430338,"0% fees | Validator.run",0.145283
430338,"Simply Staking",0.306887
430338,"Consensus One",0.461048
430338,"Cosmostation",7.763776
430338,"Secure Secrets",0.234319
430338,"SOLAR Validator",0.115333
430338,"commercio.network",0.126238
430338,"Highlander-Nodes",0.326378
430338,"天照☀",0.248668
430338,"Cosmic Validator",0.558481
430338,"kytzu",0.133106
430338,"Lavender.five Nodes",1.211163
430338,"Wave",0.110454
430338,"Klub Staking",0.311040
430338,"Cat Boss",0.188852
430338,"notional-validator",0.994388
430338,"chainvibes",0.231553
430338,"kingnodes",1.758101
430338,"NosNode🔆️",0.435897
430338,"[ block pane ]",0.265310
430338,"Wetez",0.160804
430338,"KingSuper",0.119286
430338,"dimi 🦙",1.414616
430338,"stakefish",3.722961
430338,"Chainflow",0.145239
430338,"blockscape",0.918449
430338,"Sentinel",6.161550
430338,"strangelove-ventures",1.185681
430338,"cyberG",0.150601
430338,"STAKECRAFT",0.076027
430338,"Ping",0.214638
430338,"Provalidator",1.179139
430338,"ITA Stakers",0.870569
430338,"0base.vc",8.145936
430338,"0% fee ✅ CryptoCrew Validators #GenesisCrew",0.770678
430338,"Agaram.ai",0.056839
430338,"Fist of the North Star",0.132089
430338,"Chorus One",1.445680
430338,"BasBlock",0.346152
430338,"Validating Chaos",0.515638
430338,"ChainLayer",0.938423
430338,"Chandrodaya",0.061627
430338,"Stakely.io",0.349972
430338,"Figment",3.447554
430338,"StakeWithUs",0.063080
430338,"HashQuark",0.453076
430338,"POSTHUMAN ✵ DVS",0.309242
430338,"BouBouNode",2.140714
430338,"KalpaTech",0.809827
430338,"SpacePotato",0.732013
430338,"Messi",0.060230
430338,"RHINO",0.234922
430338,"Witval",0.202968
430338,"Chill Validation",0.440099
430338,"web34ever",0.162769
430338,"milkstake",0.571650
430338,"AUDIT.one",0.163808
430338,"stake.systems",0.121925
430338,"OmniFlix Network",1.169584
430338,"OranG3cluB",0.118903
430338,"needlecast",0.359408
430338,"deus labs",1.046661
430338,"0% fee - Imperator.co",2.761669
430338,"elsehow",0.491318
430338,"FreshJUNO",0.997865
430338,"01node",0.753453
430338,"Citadel.one",2.769768
430338,"Bi23 Labs",0.721493
430338,"StakeLab",0.257026
432138,"0% fee | Stakewolle.com",0.114141
432138,"SmartNodes",2.114964
432138,"STC Capital",0.317784
432138,"Ubik Capital",0.212219
432138,"Bro_n_Bro",0.550627
432138,"WeStaking",1.246258
432138,"Cros-nest",0.607066
432138,"Cypher Core",0.192687
432138,"CommunityStaking",0.396444
432138,"Inotel",1.252342
432138,"0% fees 🚀 | BlueStake",2.931530
432138,"Crab Shack (ben2x4)",0.928574
432138,"Artifact",0.325553
432138,"Stakecito",1.350845
432138,"Regenerator | Green Validator 🌱",0.240878
432138,"Swiss Staking",3.527425
432138,"StarCluster",0.088706
432138,"Invicta Stake",0.159040
432138,"NodesGuru",0.166834
432138,"syncnode",0.127800
432138,"Disperze",3.311304
432138,"SG-1",8.498252
432138,"Cephalopod Equipment Corp",2.259706
432138,"Stakin",0.484533
432138,"jabbey",0.188730
432138,"Stakers",0.160032
432138,"meow",0.710039
432138,"#decentralizehk",0.158604
432138,"Oldcat",0.098910
432138,"pathrocknetwork",0.107217
432138,"0% fee - EZStaking.io 100% Slash Protected",0.809816
432138,"0% fees | Validator.run",0.145235
432138,"Simply Staking",0.306786
432138,"Consensus One",0.460897
432138,"Cosmostation",7.762024
432138,"Secure Secrets",0.234242
432138,"SOLAR Validator",0.115295
432138,"commercio.network",0.126196
432138,"Highlander-Nodes",0.326373
432138,"天照☀",0.248590
432138,"Cosmic Validator",0.558297
432138,"kytzu",0.133062
432138,"Lavender.five Nodes",1.210765
432138,"Wave",0.110417
